Artist,#tweet
@theestallion,231738
@halsey,117658
@billieeilish,86492
@edsheeran,66572
@justinbieber,64175
@lizzo,45627
@katyperry,41924
@chrisbrown,40584
@youngthug,37063
@taylorswift,29708
@marshmellomusic,24960
@lukecombs,23001
@shawnmendes,16897
@trvisXX,12107
@samsmith,7707
@blakeshelton,5135
@YG,3940
@Tyga,3924
@drake,3762
@arianagrande,3710
@gucci1017,3281
@thechainsmokers,2254
@lewiscapaldi,1961
@pink,1956
@beberexha,1006
@normani,619
@nipseyhussle,586
@daddyyankee,566
@blancobrown,450
@rickross,286
@sechmusic,213
@liluzivert,116
@chvrches,75
@nickyjampr,72
@dababydababy,70
@panicatthedisco,67
@roddyricch,43
@chrisyoungmusic,35
@quavostuntin,32
@JonZ,24
@danandshay,17
@thomasrhett,15
@morganwallen,15
@justincolemoore,15
@lukebryan,11
@jasonaldean,5
@hit_boy,5
@eliyoungband,4
@imbadbunny,2
@kattyperry,1
@iamsummerwalker,1
@floridageorgialine,1
