Song,#Tweet,#Neg-score_Tweet,#Pos-score_Tweet,Neg-score_Ave,Pos-score_Ave
#youneedtocalmdown,302,17,217,0.016470198675496685,0.12709933774834412
#badguy,221,64,47,0.08929864253393661,0.05821719457013574
#idontcare,190,14,101,0.02152631578947369,0.15259999999999996
#moneyinthegrave,102,22,30,0.05684313725490194,0.08603921568627454
#suge,46,11,11,0.04452173913043479,0.0705
#noguidance,65,21,12,0.05604615384615384,0.03790769230769231
#dancingwithastranger,9,0,1,0.0,0.03255555555555555
#ificanthaveyou,121,13,16,0.018553719008264465,0.02653719008264463
#truthhurts,1166,794,106,0.1059622641509449,0.0895540308747847
#withoutme,24,1,12,0.013458333333333334,0.10029166666666667
#7rings,387,23,127,0.013850129198966402,0.07651162790697676
#godscountry,94,8,34,0.017468085106382977,0.09980851063829785
#whiskeyglasses,14,0,2,0.0,0.02507142857142857
#heylookmaimadeit,6,0,4,0.047999999999999994,0.23833333333333337
#thelondon,11,3,3,0.054090909090909085,0.07454545454545453
#concalma,59,1,12,0.0033220338983050847,0.05113559322033898
#beerneverbrokemyheart,24,1,13,0.022833333333333334,0.17487499999999997
#neverreallyover,89,6,25,0.009292134831460673,0.08783146067415729
#earfquake,667,134,118,0.05807346326836583,0.055976011994002976
#lookwhatgodgaveher,1,0,0,0.0,0.0
#whenthepartysover,19,3,5,0.029,0.05042105263157896
#crossme,10,3,5,0.0772,0.1123
#goloko,22,1,4,0.011136363636363637,0.04231818181818182
#thegitup,180,8,137,0.0057666666666666665,0.15298333333333336
#someoneyouloved,37,1,17,0.017972972972972973,0.14016216216216218
#walkmehome,2,0,1,0.0,0.125
#knockinboots,39,1,35,0.004666666666666666,0.18164102564102572
#girlsneedlove,8,2,4,0.09125,0.160625
#alltomyself,6,1,1,0.025333333333333333,0.08766666666666667
#shottaflow,7,3,0,0.04542857142857143,0.03685714285714286
#callaita,60,12,5,0.05318333333333333,0.03885
#rearviewtown,2,0,1,0.058,0.0965
#talkyououtofit,2,0,0,0.0,0.0
#sanguineparadise,8,0,7,0.020625,0.337625
#herewithme,19,2,2,0.018052631578947365,0.02436842105263158
#otrotrago,27,3,3,0.018407407407407407,0.02248148148148148
#callyoumine,15,0,5,0.010333333333333333,0.10646666666666667
#raisedoncountry,27,2,20,0.027259259259259257,0.2245185185185185
#loveaint,0,0,0,0,0
#baccatitagain,5,0,1,0.0,0.046200000000000005
#bigolefreak,62,10,10,0.04914516129032258,0.03685483870967742
#terobare,1,0,1,0.073,0.267
#racksinthemiddle,6,1,0,0.036833333333333336,0.03366666666666667
#theonesthatdidntmakeitbackhome,1,0,1,0.0,0.185
